,target,prime,RT,RT_std,acc,acc_std,path sim
0,chance,last,535.3456790123457,144.75385664066323,1.0,0.0,0.1
1,chance,armor,504.96491228070175,193.49501330897033,0.9649122807017544,0.1856371538302759,0.0714285714285714
2,chance,nuclear,563.6909090909091,325.2187225674707,0.9818181818181818,0.13483997249264842,0.1111111111111111
3,chance,opportunity,475.23809523809524,129.83497146635108,0.9841269841269841,0.1259881576697424,1.0
4,cats,spinach,496.2686567164179,94.59876706377538,1.0,0.0,0.0714285714285714
5,cats,litter,504.55172413793105,98.45850001419568,1.0,0.0,0.0526315789473684
6,cats,birds,523.1917808219179,174.83481549532584,0.9863013698630136,0.11704114719613055,0.1428571428571428
7,cats,roast,521.125,149.3510299888493,1.0,0.0,0.0526315789473684
8,rent,mortgage,515.5,105.5092939560829,1.0,0.0,0.0714285714285714
9,rent,loosen,523.7142857142857,161.86787010791207,1.0,0.0,0.0666666666666666
10,rent,up,529.9090909090909,148.9314125917217,1.0,0.0,0.0625
11,rent,lease,493.2808988764045,101.70702004510586,0.9887640449438202,0.10599978800063599,0.0909090909090909
12,shop,mall,488.3488372093023,126.22163210162002,1.0,0.0,0.1
13,shop,bagel,451.9032258064516,136.58081252532992,1.0,0.0,0.0625
14,shop,uniform,530.1875,297.5649155887866,1.0,0.0,0.1111111111111111
15,shop,hungry,471.078125,147.82597068555643,0.984375,0.125,0.0833333333333333
16,take,palm,534.072463768116,268.8577865297267,1.0,0.0,0.0625
17,take,remove,494.98571428571427,141.49793800486043,1.0,0.0,0.0769230769230769
18,take,possess,541.975,288.8164608828989,1.0,0.0,0.0666666666666666
19,take,atlas,484.6619718309859,124.16474582033246,1.0,0.0,0.0555555555555555
20,unknown,clown,516.3181818181819,145.12861540912883,1.0,0.0,0.1
21,unknown,abstract,516.8021978021978,126.5164214005632,1.0,0.0,0.0769230769230769
22,unknown,known,531.6923076923077,142.12332927419726,1.0,0.0,0.125
23,unknown,undecided,539.1470588235294,151.45545275864072,0.9852941176470589,0.12126781251816653,0.125
24,seven,six,555.1136363636364,211.50350108808095,1.0,0.0,0.3333333333333333
